,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
14123,1998,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,False,False,ELLEN O TAUSCHER,DEMOCRAT,False,TOTAL,127134,237809,False,20230706,False
14124,1998,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,False,False,JOHN PLACE,REFORM,False,TOTAL,3435,237809,False,20230706,False
14125,1998,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,False,False,VALERIE JANLOIS,NATURAL LAW,False,TOTAL,3941,237809,False,20230706,False
14126,1998,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,False,False,JESSE BAIRD,LIBERTARIAN,False,TOTAL,3608,155449,False,20230706,False
14127,1998,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,False,False,RICHARD W POMBO,REPUBLICAN,False,TOTAL,95496,155449,False,20230706,False
14128,1998,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,False,False,ROBERT L FIGUEROA,DEMOCRAT,False,TOTAL,56345,155449,False,20230706,False
14129,1998,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,False,False,MICHAEL J MOLONEY,LIBERTARIAN,False,TOTAL,8515,173212,False,20230706,False
14130,1998,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,False,False,ROBERT H EVANS,REPUBLICAN,False,TOTAL,36562,173212,False,20230706,False
14131,1998,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,False,False,TOM LANTOS,DEMOCRAT,False,TOTAL,128135,173212,False,20230706,False
14132,1998,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,False,False,FORTNEY PETE STARK,DEMOCRAT,False,TOTAL,101671,142787,False,20230706,False
14133,1998,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,False,False,JAMES R GOETZ,REPUBLICAN,False,TOTAL,38050,142787,False,20230706,False
14134,1998,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,False,False,KARNIG BEYLIKJIAN,NATURAL LAW,False,TOTAL,3066,142787,False,20230706,False
14135,1998,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,False,False,ANNA CURRIVAN,NATURAL LAW,False,TOTAL,2362,188910,False,20230706,False
14136,1998,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,False,False,ANNA G ESHOO,DEMOCRAT,False,TOTAL,129663,188910,False,20230706,False
14137,1998,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,False,False,"JOHN C ""CHRIS"" HAUGEN",REPUBLICAN,False,TOTAL,53719,188910,False,20230706,False
14138,1998,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,False,False,JOSEPH W DEHN III,LIBERTARIAN,False,TOTAL,3166,188910,False,20230706,False
14139,1998,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,False,False,DICK LANE,DEMOCRAT,False,TOTAL,70059,184778,False,20230706,False
14140,1998,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,False,False,FRANK STRUTNER,NATURAL LAW,False,TOTAL,2843,184778,False,20230706,False
