,Seat,State,Name,LQ Score,Year
140,17,ILLINOIS,Hare D,90,2009
141,18,ILLINOIS,Schock R,5,2009
142,19,ILLINOIS,Shimkus R,5,2009
143,1,INDIANA,Visclosky D,90,2009
144,2,INDIANA,Donnelly D,70,2009
145,3,INDIANA,Souder R,15,2009
146,4,INDIANA,Buyer R,10,2009
147,5,INDIANA,Burton R,5,2009
148,6,INDIANA,Pence R,0,2009
149,7,INDIANA,Carson D,100,2009
150,8,INDIANA,Ellsworth D,65,2009
151,9,INDIANA,Hill D,75,2009
152,1,IOWA,Braley D,95,2009
153,2,IOWA,Loebsack D,95,2009
154,3,IOWA,Boswell D,95,2009
155,4,IOWA,Latham R,5,2009
156,5,IOWA,King R,0,2009
157,1,KANSAS,Moran R,5,2009
158,2,KANSAS,Jenkins R,5,2009
159,3,KANSAS,Moore D,100,2009
160,4,KANSAS,Tiahrt R,5,2009
161,1,KENTUCKY,Whitfield R,0,2009
162,2,KENTUCKY,Guthrie R,10,2009
163,3,KENTUCKY,Yarmuth D,100,2009
164,4,KENTUCKY,Davis R,5,2009
165,5,KENTUCKY,Rogers R,0,2009
166,6,KENTUCKY,Chandler D,80,2009
167,1,LOUISIANA,Scalise R,0,2009
168,2,LOUISIANA,Cao R,45,2009
169,3,LOUISIANA,Melancon D,60,2009
170,4,LOUISIANA,Fleming R,0,2009
171,5,LOUISIANA,Alexander R,0,2009
172,6,LOUISIANA,Cassidy R,20,2009
173,7,LOUISIANA,Boustany R,5,2009
174,1,MAINE,Pingree D,100,2009
175,2,MAINE,Michaud D,90,2009
176,1,MARYLAND,Kratovil D,70,2009
177,2,MARYLAND,Ruppersberger D,90,2009
178,3,MARYLAND,Sarbanes. D,100,2009
179,4,MARYLAND,Edwards D,100,2009
180,5,MARYLAND,Hoyer D,100,2009
181,6,MARYLAND,Bartlett R,5,2009
182,7,MARYLAND,Cummings D,100,2009
183,8,MARYLAND,Van Hollen D,100,2009
184,1,MASSACHUSETTS,Olver D,100,2009
185,2,MASSACHUSETTS,Neal D,95,2009
186,3,MASSACHUSETTS,McGovern D,100,2009
187,4,MASSACHUSETTS,Frank D,100,2009
188,5,MASSACHUSETTS,Tsongas D,95,2009
189,6,MASSACHUSETTS,Tierney D,95,2009
190,7,MASSACHUSETTS,Markey D,100,2009
191,8,MASSACHUSETTS,Capuano D,95,2009
192,9,MASSACHUSETTS,Lynch D,90,2009
193,10,MASSACHUSETTS,Delahunt D,100,2009
194,1,MICHIGAN,Stupak D,75,2009
195,2,MICHIGAN,Hoekstra R,10,2009
196,3,MICHIGAN,Ehlers R,20,2009
197,4,MICHIGAN,Camp R,15,2009
198,5,MICHIGAN,Kildee D,90,2009
199,6,MICHIGAN,Upton R,30,2009
200,7,MICHIGAN,Schauer D,100,2009
201,8,MICHIGAN,Rogers R,10,2009
202,9,MICHIGAN,Peters D,95,2009
203,10,MICHIGAN,Miller R,25,2009
204,11,MICHIGAN,McCotter R,20,2009
205,12,MICHIGAN,Levin D,90,2009
206,13,MICHIGAN,Kilpatrick D,100,2009
207,14,MICHIGAN,Conyers D,85,2009
208,15,MICHIGAN,Dingell D,95,2009
209,1,MINNESOTA,Walz D,100,2009
210,2,MINNESOTA,Kline R,5,2009
211,3,MINNESOTA,Paulsen R,10,2009
212,4,MINNESOTA,McCollum D,100,2009
213,5,MINNESOTA,Ellison D,95,2009
214,6,MINNESOTA,Bachmann R,0,2009
215,7,MINNESOTA,Peterson D,55,2009
216,8,MINNESOTA,Oberstar D,85,2009
217,1,MISSISSIPPI,Childers D,55,2009
218,2,MISSISSIPPI,Thompson D,95,2009
219,3,MISSISSIPPI,Harper R,0,2009
220,4,MISSISSIPPI,Taylor D,35,2009
221,1,MISSOURI,Clay D,100,2009
222,2,MISSOURI,Akin R,0,2009
223,3,MISSOURI,Carnahan D,100,2009
224,4,MISSOURI,Skelton D,70,2009
225,5,MISSOURI,Cleaver D,95,2009
226,6,MISSOURI,Graves R,0,2009
227,7,MISSOURI,Blunt R,5,2009
228,8,MISSOURI,Emerson R,10,2009
229,9,MISSOURI,Luetkemeyer R,5,2009
230,1,MONTANA,Rehberg R,15,2009
231,1,NEBRASKA,Fortenberry R,5,2009
232,2,NEBRASKA,Terry R,15,2009
233,3,NEBRASKA,Smith R,0,2009
234,1,NEVADA,Berkley D,100,2009
235,2,NEVADA,Heller R,5,2009
236,3,NEVADA,Titus D,95,2009
237,1,NEW HAMPSHIRE,SheaPorter D,95,2009
238,2,NEW HAMPSHIRE,Hodes D,95,2009
239,1,NEW JERSEY,Andrews D,100,2009
240,2,NEW JERSEY,LoBiondo R,35,2009
241,3,NEW JERSEY,Adler D,85,2009
242,4,NEW JERSEY,Smith R,30,2009
243,5,NEW JERSEY,Garrett R,0,2009
244,6,NEW JERSEY,Pallone D,95,2009
245,7,NEW JERSEY,Lance R,40,2009
246,8,NEW JERSEY,Pascrell D,90,2009
247,9,NEW JERSEY,Rothman D,100,2009
248,10,NEW JERSEY,Payne D,100,2009
249,11,NEW JERSEY,Frelinghuysen R,15,2009
250,12,NEW JERSEY,Holt D,100,2009
251,13,NEW JERSEY,Sires D,100,2009
252,1,NEW MEXICO,Heinrich D,100,2009
253,2,NEW MEXICO,Teague D,55,2009
254,3,NEW MEXICO,Lujan D,100,2009
255,1,NEW YORK,Bishop D,100,2009
256,2,NEW YORK,Israel D,95,2009
257,3,NEW YORK,King R,20,2009
258,4,NEW YORK,McCarthy D,95,2009
259,5,NEW YORK,Ackerman D,100,2009
260,6,NEW YORK,Meeks D,100,2009
261,7,NEW YORK,Crowley D.,100,2009
262,8,NEW YORK,Nadler D,95,2009
263,9,NEW YORK,Weiner D,100,2009
264,10,NEW YORK,Towns D,100,2009
265,11,NEW YORK,Clarke D,100,2009
266,12,NEW YORK,Velazquez D,100,2009
267,13,NEW YORK,McMahon D,95,2009
268,14,NEW YORK,Maloney D,95,2009
269,15,NEW YORK,Rangel D,95,2009
270,16,NEW YORK,Serrano D,100,2009
271,17,NEW YORK,Engel D,100,2009
272,18,NEW YORK,Lowey D,100,2009
273,19,NEW YORK,Hall D,100,2009
274,21,NEW YORK,Tonko D,100,2009
275,22,NEW YORK,Hinchey D,100,2009
276,24,NEW YORK,Arcuri D,85,2009
277,25,NEW YORK,Maffei D,100,2009
278,26,NEW YORK,Lee R,20,2009
279,27,NEW YORK,Higgins D,100,2009
280,28,NEW YORK,Slaughter D,90,2009
281,29,NEW YORK,Massa D,80,2009
282,1,NORTH CAROLINA,Butterfield D,95,2009
283,2,NORTH CAROLINA,Etheridge D,95,2009
284,3,NORTH CAROLINA,Jones R,15,2009
285,4,NORTH CAROLINA,Price D,100,2009
286,5,NORTH CAROLINA,Foxx R,0,2009
287,6,NORTH CAROLINA,Coble R,5,2009
288,7,NORTH CAROLINA,McIntyre D,50,2009
289,8,NORTH CAROLINA,Kissell D,75,2009
290,9,NORTH CAROLINA,Myrick R,0,2009
291,10,NORTH CAROLINA,McHenry R,0,2009
292,11,NORTH CAROLINA,Shuler D,65,2009
293,12,NORTH CAROLINA,Watt D,95,2009
294,13,NORTH CAROLINA,Miller D,100,2009
295,1,NORTH DAKOTA,Pomeroy D,85,2009
296,1,OHIO,Driehaus D,85,2009
297,2,OHIO,Schmidt R,0,2009
298,3,OHIO,Turner R,35,2009
299,4,OHIO,Jordan R,0,2009
300,5,OHIO,Latta R,0,2009
301,6,OHIO,Wilson D,80,2009
302,7,OHIO,Austria R,15,2009
303,8,OHIO,Boehner R,0,2009
304,9,OHIO,Kaptur D           P,85,2009
305,10,OHIO,Kucinich D,75,2009
306,11,OHIO,Fudge D,100,2009
307,12,OHIO,Tiberi R,15,2009
308,13,OHIO,Sutton D,100,2009
309,14,OHIO,LaTourette R,25,2009
310,15,OHIO,Kilroy D,100,2009
311,16,OHIO,Boccieri D,75,2009
312,17,OHIO,Ryan D,95,2009
313,18,OHIO,Space D,80,2009
314,1,OKLAHOMA,Sullivan R,0,2009
315,2,OKLAHOMA,Boren D,40,2009
316,3,OKLAHOMA,Lucas R,0,2009
317,4,OKLAHOMA,Cole R,0,2009
318,5,OKLAHOMA,Fallin R,0,2009
319,1,OREGON,Wu D,100,2009
320,2,OREGON,Walden R,15,2009
321,3,OREGON,Blumenauer D,90,2009
322,4,OREGON,DeFazio D,95,2009
323,5,OREGON,Schrader D,80,2009
324,1,PENNSYLVANIA,Brady D,100,2009
325,2,PENNSYLVANIA,Fattah D,100,2009
326,3,PENNSYLVANIA,Dahlkemper D,75,2009
327,4,PENNSYLVANIA,Altmire D,70,2009
328,5,PENNSYLVANIA,Thompson R,15,2009
329,6,PENNSYLVANIA,Gerlach R,20,2009
330,7,PENNSYLVANIA,Sestak D,95,2009
331,8,PENNSYLVANIA,Murphy T. D,90,2009
332,9,PENNSYLVANIA,Shuster R,5,2009
333,10,PENNSYLVANIA,Carney D,65,2009
334,11,PENNSYLVANIA,Kanjorski D,85,2009
335,12,PENNSYLVANIA,Murtha D,85,2009
336,13,PENNSYLVANIA,Schwartz D,100,2009
337,14,PENNSYLVANIA,Doyle D,95,2009
338,15,PENNSYLVANIA,Dent R,20,2009
339,16,PENNSYLVANIA,Pitts R,5,2009
340,17,PENNSYLVANIA,Holden D,75,2009
341,18,PENNSYLVANIA,Murphy R,15,2009
342,19,PENNSYLVANIA,Platts R,30,2009
343,1,RHODE ISLAND,Kennedy D,90,2009
344,2,RHODE ISLAND,Langevin D,95,2009
345,1,SOUTH CAROLINA,Brown R,0,2009
346,2,SOUTH CAROLINA,Wilson R,0,2009
347,3,SOUTH CAROLINA,Barrett R,0,2009
348,4,SOUTH CAROLINA,Inglis R,0,2009
349,5,SOUTH CAROLINA,Spratt D,95,2009
350,6,SOUTH CAROLINA,Clyburn D,100,2009
351,1,SOUTH DAKOTA,Herseth Sandlin D  A,65,2009
352,1,TENNESSEE,Roe R,5,2009
353,2,TENNESSEE,Duncan R,10,2009
354,3.,TENNESSEE,Wamp R,5,2009
355,4,TENNESSEE,Davis L. D,50,2009
356,5,TENNESSEE,Cooper D,90,2009
357,6,TENNESSEE,Gordon D,75,2009
358,7,TENNESSEE,Blackburn R,0,2009
359,8,TENNESSEE,Tanner D,75,2009
360,9,TENNESSEE,Cohen D,100,2009
361,1,TEXAS,Gohmert R,0,2009
362,2,TEXAS,Poe R,5,2009
363,3,TEXAS,Johnson S. R,0,2009
364,4,TEXAS,Hall R,10,2009
365,5,TEXAS,Hensarling R,0,2009
366,6,TEXAS,Barton R,5,2009
367,7,TEXAS,Culberson R,0,2009
368,8,TEXAS,Brady R,0,2009
369,9,TEXAS,Green A. D,100,2009
370,10,TEXAS,McCaul R,0,2009
371,11,TEXAS,Conaway R,0,2009
372,12,TEXAS,Granger R,0,2009
373,13,TEXAS,Thornberry R,0,2009
374,14,TEXAS,Paul R,5,2009
375,15,TEXAS,Hinojosa D,90,2009
376,16,TEXAS,Reyes D,95,2009
377,17,TEXAS,Edwards D,75,2009
378,18,TEXAS,Jackson Lee D,95,2009
379,19,TEXAS,Neugebauer R,0,2009
380,20,TEXAS,Gonzalez D,100,2009
381,21,TEXAS,Smith R,5,2009
382,22,TEXAS,Olsen R,0,2009
383,23,TEXAS,Rodriguez D,90,2009
384,24,TEXAS,Marchant R,5,2009
385,25,TEXAS,Doggett D,95,2009
386,26,TEXAS,Burgess R,0,2009
387,27,TEXAS,Ortiz D,85,2009
388,28,TEXAS,Cuellar D,85,2009
389,29,TEXAS,Green G. D,100,2009
390,30,TEXAS,Johnson E. D,95,2009
391,31,TEXAS,Carter R,0,2009
392,32,TEXAS,Sessions R,0,2009
393,1,UTAH,Bishop R,0,2009
394,2,UTAH,Matheson D,55,2009
395,3,UTAH,Chaffetz R,0,2009
396,1,VERMONT,Welch D,90,2009
397,1,VIRGINIA,Wittman R,5,2009
398,2,VIRGINIA,Nye D,70,2009
399,3,VIRGINIA,Scott D,95,2009
400,4,VIRGINIA,Forbes R,0,2009
401,5,VIRGINIA,Perriello D,70,2009
402,6,VIRGINIA,Goodlatte R,0,2009
403,7,VIRGINIA,Cantor R        P,0,2009
404,8,VIRGINIA,Moran D,85,2009
405,9,VIRGINIA,Boucher D,75,2009
406,10,VIRGINIA,Wolf R,10,2009
407,11,VIRGINIA,Connolly D,95,2009
408,1,WASHINGTON,Inslee D,100,2009
409,2,WASHINGTON,Larsen D,100,2009
410,3,WASHINGTON,Baird D,75,2009
411,4,WASHINGTON,Hastings R,0,2009
412,5,WASHINGTON,McMorris Rodgers,0,2009
413,6,WASHINGTON,Dicks D,100,2009
414,7,WASHINGTON,McDermott D,95,2009
415,8,WASHINGTON,Reichert R,45,2009
416,9,WASHINGTON,Smith D,95,2009
417,1,WEST VIRGINIA,Mollohan D,85,2009
418,2,WEST VIRGINIA,Capito R,30,2009
419,3,WEST VIRGINIA,Rahall D,85,2009
420,1,WISCONSIN,Ryan R,0,2009
421,2,WISCONSIN,Baldwin D,95,2009
422,3,WISCONSIN,Kind D,90,2009
423,4,WISCONSIN,Moore D,100,2009
424,5,WISCONSIN,Sensenbrenner R,0,2009
425,6,WISCONSIN,Petri R,10,2009
426,7,WISCONSIN,Obey D,95,2009
427,8,WISCONSIN,Kagen D,95,2009
428,1,WYOMING,Lummis R,0,2009
429,a,WYOMING,score of . . Ineligible voter not in office,0,2009
430,4,ALABAMA,Aderholt R,0,2010
431,6,ALABAMA,Bachus S. R,0,2010
432,1,ALABAMA,Bonner R,0,2010
433,2,ALABAMA,Bright D,10,2010
434,7,ALABAMA,Davis A. D,55,2010
435,5,ALABAMA,Griffi th R,0,2010
436,3,ALABAMA,Rogers Mike R,5,2010
437,1,ALASKA,Young D. R,10,2010
438,6,ARIZONA,Flake R,10,2010
439,2,ARIZONA,Franks T. R,5,2010
440,8,ARIZONA,Giffords D,75,2010
441,7,ARIZONA,Grijalva D,90,2010
442,1,ARIZONA,Kirkpatrick D,60,2010
443,5,ARIZONA,Mitchell D,60,2010
444,4,ARIZONA,Pastor D,85,2010
445,3,ARIZONA,Shadegg R,5,2010
446,1,ARKANSAS,Berry D,25,2010
447,3,ARKANSAS,Boozman R,0,2010
448,4,ARKANSAS,Ross M. D,45,2010
449,2,ARKANSAS,Snyder D,80,2010
450,43,CALIFORNIA,Baca D,90,2010
451,31,CALIFORNIA,Becerra D,95,2010
452,28,CALIFORNIA,Berman D,90,2010
453,50,CALIFORNIA,Bilbray R,15,2010
454,45,CALIFORNIA,Bono Mack R,20,2010
455,44,CALIFORNIA,Calvert R,0,2010
456,48,CALIFORNIA,Campbell R,10,2010
457,23,CALIFORNIA,Capps D,95,2010
458,18,CALIFORNIA,Cardoza D,75,2010
459,32,CALIFORNIA,Chu D,100,2010
460,20,CALIFORNIA,Costa D,70,2010
461,53,CALIFORNIA,Davis S. D,90,2010
462,26,CALIFORNIA,Dreier R,5,2010
463,14,CALIFORNIA,Eshoo D,95,2010
464,17,CALIFORNIA,Farr D,90,2010
465,51,CALIFORNIA,Filner D,100,2010
466,24,CALIFORNIA,Gallegly R,0,2010
467,10,CALIFORNIA,Garamendi D,100,2010
468,36,CALIFORNIA,Harman D,90,2010
469,2,CALIFORNIA,Herger R,0,2010
470,15,CALIFORNIA,Honda D,95,2010
471,52,CALIFORNIA,Hunter R,0,2010
472,49,CALIFORNIA,Issa R,0,2010
473,9,CALIFORNIA,Lee D,95,2010
474,41,CALIFORNIA,Lewis Jerry R,0,2010
475,16,CALIFORNIA,Lofgren D,95,2010
476,3,CALIFORNIA,Lungren R,0,2010
477,5,CALIFORNIA,Matsui D,100,2010
478,22,CALIFORNIA,McCarthy K. R,0,2010
479,4,CALIFORNIA,McClintock R,0,2010
480,25,CALIFORNIA,McKeon R,0,2010
481,11,CALIFORNIA,McNerney D,85,2010
482,7,CALIFORNIA,Miller George D,100,2010
483,42,CALIFORNIA,Miller Gary R,0,2010
484,38,CALIFORNIA,Napolitano D,100,2010
485,21,CALIFORNIA,Nunes R,0,2010
486,19,CALIFORNIA,Radanovich R,0,2010
487,37,CALIFORNIA,Richardson D,95,2010
488,46,CALIFORNIA,Rohrabacher R,5,2010
489,34,CALIFORNIA,RoybalAllard D,100,2010
490,40,CALIFORNIA,Royce R,0,2010
491,39,CALIFORNIA,Sanchez Linda D,100,2010
492,47,CALIFORNIA,Sanchez Loretta D,95,2010
493,29,CALIFORNIA,Schiff D,90,2010
494,27,CALIFORNIA,Sherman D,90,2010
495,12,CALIFORNIA,Speier D,95,2010
496,13,CALIFORNIA,Stark D,90,2010
497,1,CALIFORNIA,Thompson D,100,2010
498,35,CALIFORNIA,Waters D,90,2010
499,33,CALIFORNIA,Watson D,85,2010
500,30,CALIFORNIA,Waxman D,90,2010
501,6,CALIFORNIA,Woolsey D,100,2010
502,6,COLORADO,Coffman R,0,2010
503,1,COLORADO,DeGette D,95,2010
504,5,COLORADO,Lamborn R,5,2010
505,4,COLORADO,Markey B. D,75,2010
506,7,COLORADO,Perlmutter D,95,2010
507,2,COLORADO,Polis D,90,2010
508,3,COLORADO,Salazar J. D,60,2010
509,2,CONNECTICUT,Courtney D,90,2010
510,3,CONNECTICUT,DeLauro D,100,2010
511,4,CONNECTICUT,Himes D,90,2010
512,1,CONNECTICUT,Larson J. D,100,2010
513,5,CONNECTICUT,Murphy C. D,95,2010
514,1,DELAWARE,Castle R,50,2010
515,9,FLORIDA,Bilirakis R,15,2010
516,2,FLORIDA,Boyd A. D,80,2010
517,3,FLORIDA,Brown C. D,100,2010
518,5,FLORIDA,BrownWaite G. R,5,2010
519,13,FLORIDA,Buchanan R,0,2010
520,11,FLORIDA,Castor D,95,2010
521,4,FLORIDA,Crenshaw R,5,2010
522,19,FLORIDA,Deutch D I I,80,2010
523,21,FLORIDA,DiazBalart L. R,25,2010
524,25,FLORIDA,DiazBalart M. R,20,2010
525,8,FLORIDA,Grayson D,100,2010
526,23,FLORIDA,Hastings A. D,85,2010
527,22,FLORIDA,Klein R. D,85,2010
528,24,FLORIDA,Kosmas D,80,2010
529,14,FLORIDA,Mack R,5,2010
530,17,FLORIDA,Meek K. D,80,2010
531,7,FLORIDA,Mica R,0,2010
532,1,FLORIDA,Miller J. R,0,2010
533,15,FLORIDA,Posey R,10,2010
534,12,FLORIDA,Putnam R,0,2010
535,16,FLORIDA,Rooney R,0,2010
536,18,FLORIDA,RosLehtinen R,30,2010
537,6,FLORIDA,Stearns R,0,2010
538,20,FLORIDA,WassermanSchultz D,90,2010
539,10,FLORIDA,Young C.W. R,10,2010
540,12,GEORGIA,Barrow D,65,2010
541,2,GEORGIA,Bishop S. D,75,2010
542,10,GEORGIA,Broun R,5,2010
543,11,GEORGIA,Gingrey R,5,2010
544,9,GEORGIA,Graves T. R I I I I I,5,2010
545,4,GEORGIA,Johnson H. D,90,2010
546,1,GEORGIA,Kingston R,5,2010
547,5,GEORGIA,Lewis John D,100,2010
548,7,GEORGIA,Linder R,5,2010
549,8,GEORGIA,Marshall D,35,2010
550,6,GEORGIA,Price T. R,0,2010
551,13,GEORGIA,Scott D. D,90,2010
552,3,GEORGIA,Westmoreland L. R,0,2010
553,1,HAWAII,Djou R I I,30,2010
554,2,HAWAII,Hirono D,95,2010
555,1,IDAHO,Minnick D,50,2010
556,2,IDAHO,Simpson R,5,2010
557,8,ILLINOIS,Bean D,65,2010
558,13,ILLINOIS,Biggert R,20,2010
559,12,ILLINOIS,Costello D,70,2010
560,7,ILLINOIS,Davis D. D,85,2010
561,14,ILLINOIS,Foster D,90,2010
562,4,ILLINOIS,Gutierrez D,90,2010
563,11,ILLINOIS,Halvorson D,80,2010
564,17,ILLINOIS,Hare D,90,2010
565,2,ILLINOIS,Jackson J. D,100,2010
566,15,ILLINOIS,Johnson Timothy R,25,2010
567,10,ILLINOIS,Kirk R               I I I I I I,10,2010
568,3,ILLINOIS,Lipinski D,65,2010
569,16,ILLINOIS,Manzullo R,10,2010
570,5,ILLINOIS,Quigley D,95,2010
571,6,ILLINOIS,Roskam R,5,2010
572,1,ILLINOIS,Rush D,85,2010
573,9,ILLINOIS,Schakowsky D,95,2010
574,18,ILLINOIS,Schock R,0,2010
575,19,ILLINOIS,Shimkus R,0,2010
576,5,INDIANA,Burton R,0,2010
577,4,INDIANA,Buyer R,0,2010
578,7,INDIANA,Carson D,90,2010
579,2,INDIANA,Donnelly D,60,2010
580,8,INDIANA,Ellsworth D,65,2010
581,9,INDIANA,Hill D,70,2010
582,6,INDIANA,Pence R,5,2010
583,1,INDIANA,Visclosky D,95,2010
584,3,IOWA,Boswell D,90,2010
585,1,IOWA,Braley D,100,2010
586,5,IOWA,King S. R,5,2010
587,4,IOWA,Latham R,0,2010
588,2,IOWA,Loebsack D,95,2010
589,2,KANSAS,Jenkins R,0,2010
590,3,KANSAS,Moore D. D,90,2010
591,1,KANSAS,Moran Jerry R,5,2010
592,4,KANSAS,Tiahrt R,0,2010
593,6,KENTUCKY,Chandler D,65,2010
594,4,KENTUCKY,Davis G. R,0,2010
595,2,KENTUCKY,Guthrie R,0,2010
596,5,KENTUCKY,Rogers H. R,0,2010
597,1,KENTUCKY,Whitfi eld R,15,2010
598,3,KENTUCKY,Yarmuth D,100,2010
599,5,LOUISIANA,Alexander R. R,5,2010
600,7,LOUISIANA,Boustany R,0,2010
601,2,LOUISIANA,Cao R,45,2010
